Monthly_Spend_USD,Hours_Watched_Per_Week,Devices_Connected,Customer_Service_Tickets,Using_Student_Discount,Account_Status
14.84,11.3,5,0,true,Stay
13.01,10.9,5,1,false,Stay
14.88,9.7,4,0,false,Stay
15.92,10.8,2,1,true,Stay
13.53,16.7,5,0,true,Stay
24.87,1.5,2,7,true,Cancel
21.67,0.2,1,6,true,Cancel
18.4,23.9,5,0,true,Stay
10.75,22.8,2,1,false,Stay
16.41,16.5,5,2,false,Stay
17.4,8.4,5,0,false,Stay
10.11,11.6,5,2,false,Stay
11.9,9.7,4,1,false,Stay
16.22,15.3,5,0,true,Stay
18.44,12.5,3,0,true,Stay
13.7,16.6,4,0,true,Stay
15.36,13.4,5,0,false,Stay
13.43,13.2,4,0,false,Stay
13.89,15.1,3,0,true,Stay
11.97,20.5,5,2,true,Stay
17.4,10.5,3,0,false,Stay
17.73,16.0,5,2,true,Stay
10.62,18.1,3,0,false,Stay
12.47,15.7,5,0,true,Stay
16.96,6.4,5,0,true,Stay
11.27,18.4,4,2,true,Stay
14.52,7.0,5,0,false,Stay
10.6,14.4,2,0,false,Stay
16.88,17.1,3,0,false,Stay
16.5,15.1,3,2,false,Stay
10.15,8.3,4,0,true,Stay
15.58,18.4,2,1,false,Stay
12.12,12.0,5,0,false,Stay
14.86,10.8,5,0,true,Stay
15.42,15.6,4,0,false,Stay
11.16,14.2,5,0,false,Stay
13.1,16.2,4,0,true,Stay
11.57,10.0,2,0,false,Stay
19.66,1.1,2,3,true,Cancel
24.9,4.3,2,4,false,Cancel
14.86,17.5,4,0,true,Stay
22.37,0.0,2,4,false,Cancel
17.57,10.9,5,0,false,Stay
10.69,22.9,5,0,true,Stay
14.91,9.9,2,0,true,Stay
17.15,11.1,2,0,false,Stay
13.69,9.6,2,2,true,Stay
14.52,9.0,5,2,false,Stay
18.26,14.0,3,1,false,Stay
14.05,14.3,3,2,false,Stay
11.35,12.1,2,0,true,Stay
17.56,13.3,4,0,true,Stay
13.95,17.8,5,1,false,Stay
11.3,13.9,2,0,false,Stay
18.27,10.4,3,1,false,Stay
10.69,15.9,4,0,false,Stay
13.71,8.8,3,2,false,Stay
18.43,13.0,4,1,false,Stay
15.86,22.3,2,0,false,Stay
15.38,3.3,1,3,true,Cancel
13.36,17.6,5,2,false,Stay
24.8,3.8,1,5,true,Cancel
16.82,12.2,4,2,false,Stay
14.07,6.0,5,0,true,Stay
23.54,6.7,1,5,false,Cancel
15.92,14.4,5,0,false,Stay
13.4,14.3,5,0,false,Stay
13.18,9.9,3,0,true,Stay
15.88,18.9,2,0,true,Stay
13.4,18.7,2,1,true,Stay
12.3,11.5,3,2,false,Stay
18.08,9.5,2,0,false,Stay
10.85,14.1,5,1,true,Stay
11.85,14.5,2,1,false,Stay
13.43,19.4,4,1,true,Stay
18.18,17.3,5,2,false,Stay
16.37,17.9,4,0,false,Stay
22.12,4.9,2,6,false,Cancel
13.47,15.1,4,0,false,Stay
18.47,18.6,3,0,true,Stay
13.28,20.3,5,1,false,Stay
14.38,12.7,4,0,true,Stay
16.98,10.0,2,0,false,Stay
17.12,9.2,3,2,true,Stay
12.72,19.1,5,1,false,Stay
15.95,2.3,1,5,true,Cancel
17.24,14.6,3,0,true,Stay
10.93,12.3,4,0,true,Stay
15.21,17.7,4,2,true,Stay
18.36,15.8,2,2,true,Stay
17.86,14.0,2,0,true,Stay
13.6,18.8,2,0,true,Stay
15.78,17.9,3,0,false,Stay
12.78,16.0,4,2,true,Stay
17.38,13.0,2,0,true,Stay
10.07,17.9,4,0,false,Stay
10.18,13.3,3,1,false,Stay
10.15,18.1,2,2,true,Stay
11.14,12.3,3,0,false,Stay
11.72,17.6,3,1,true,Stay
